City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Guerrero,MX,17.6667,-100.0,70.9,71,100,6.69,overcast clouds
252,Leningradskiy,RU,69.3833,178.4167,29.28,88,94,1.79,overcast clouds
253,Longavi,CL,-35.9667,-71.6833,52.5,67,0,5.19,clear sky
254,North Platte,US,41.1239,-100.7654,64.99,51,1,12.66,clear sky
255,Tervuren,BE,50.8237,4.5142,35.01,93,0,5.75,clear sky
256,Yerbogachen,RU,61.2767,108.0108,29.84,57,99,13.33,overcast clouds
257,Laguna,US,38.421,-121.4238,55.0,54,1,10.36,clear sky
258,Saint George,US,37.1041,-113.5841,70.0,14,1,0.92,clear sky
259,San Ramon,US,37.7799,-121.978,51.01,87,1,4.61,clear sky
260,Sambava,MG,-14.2667,50.1667,74.14,86,100,6.98,overcast clouds
261,Nouadhibou,MR,20.931,-17.0347,64.4,82,0,14.97,clear sky
262,Aksarka,RU,66.5606,67.7975,35.47,98,99,11.48,overcast clouds
263,Mackay,AU,-21.15,149.2,77.0,69,75,17.27,broken clouds
264,Hastings,GB,50.8552,0.5729,42.8,81,90,18.41,overcast clouds
265,Mitu,CO,1.1983,-70.1733,73.67,96,100,1.28,overcast clouds
266,Puerto Leguizamo,CO,-0.1934,-74.7819,72.9,97,100,0.76,overcast clouds
267,Cap-Chat,CA,49.1001,-66.6821,41.0,87,99,2.3,overcast clouds
268,Springbok,ZA,-29.6643,17.8865,58.77,49,99,3.71,overcast clouds
269,Biltine,TD,14.5333,20.9167,81.95,22,95,1.74,overcast clouds
270,Nemuro,JP,43.3236,145.575,42.8,31,20,14.97,few clouds
271,Tarime,TZ,-1.35,34.3667,66.2,94,20,3.2,few clouds
272,New Norfolk,AU,-42.7826,147.0587,66.2,42,40,17.27,scattered clouds
273,Karratha,AU,-20.7377,116.8463,88.25,20,0,15.64,clear sky
274,Bonga,ET,7.2833,36.2333,59.95,98,100,1.07,overcast clouds
275,Tamazunchale,MX,21.2667,-98.7833,75.04,79,78,2.35,broken clouds
276,Lalmohan,BD,22.3384,90.7419,91.76,43,0,6.15,clear sky
277,Saint-Augustin,CA,51.226,-58.6502,35.1,81,21,4.32,few clouds
278,Luwuk,ID,-0.9516,122.7875,85.93,65,68,6.2,broken clouds
279,Porto Velho,BR,-8.7619,-63.9039,77.0,94,40,2.3,moderate rain
280,Pampa,US,35.5362,-100.9599,73.4,16,1,17.27,clear sky
281,Faanui,PF,-16.4833,-151.75,81.39,63,15,1.81,few clouds
282,Opuwo,NA,-18.0607,13.84,61.52,60,0,2.3,clear sky
283,Port Macquarie,AU,-31.4333,152.9167,72.0,53,8,8.01,clear sky
284,Antalaha,MG,-14.9003,50.2788,74.03,86,98,4.94,overcast clouds
285,Bardiyah,LY,31.7561,25.0865,60.4,79,0,19.6,clear sky
286,Seoul,KR,37.5683,126.9778,68.0,52,75,6.91,broken clouds
287,Sharan,RU,54.8167,54.0,41.22,64,1,18.14,clear sky
288,Mount Gambier,AU,-37.8333,140.7667,59.0,77,90,8.05,overcast clouds
289,Paramonga,PE,-10.6667,-77.8333,66.22,89,36,7.78,scattered clouds
290,Nguru,NG,12.8791,10.4526,82.13,29,53,4.74,broken clouds
291,Djougou,BJ,9.7085,1.666,78.8,78,0,4.61,light rain
292,Ca Mau,VN,9.1769,105.15,94.21,44,56,6.91,broken clouds
293,Talara,PE,-4.5772,-81.2719,71.2,77,55,14.9,broken clouds
294,Ugoofaaru,MV,5.6667,73.0,83.55,70,5,2.73,clear sky
295,Kuching,MY,1.55,110.3333,89.6,66,40,4.61,scattered clouds
