City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Los Arcos,PH,2021-04-26 00:13:20,8.6328,125.9856,80.26,82,94,1.66
202,Riyadh,SA,2021-04-26 00:10:08,24.6877,46.7219,78.8,20,0,3.44
203,Saint-Dizier,FR,2021-04-26 00:13:20,48.4167,5.0833,46.4,53,0,6.91
204,Bengkulu,ID,2021-04-26 00:13:21,-3.8004,102.2655,76.35,85,33,4.41
205,Catamayo,EC,2021-04-26 00:13:21,-3.9833,-79.35,75.2,64,20,9.22
206,Omsukchan,RU,2021-04-26 00:13:22,62.5333,155.8,14.5,73,99,2.19
207,Stolberg,DE,2021-04-26 00:13:22,50.7667,6.2333,39.99,76,96,4.47
208,Paso De Los Toros,UY,2021-04-26 00:13:23,-32.8167,-56.5167,55.4,94,0,8.37
209,Biltine,TD,2021-04-26 00:13:23,14.5333,20.9167,86.54,21,99,4.92
210,Saint Anthony,US,2021-04-26 00:13:24,45.0205,-93.218,43.0,52,90,12.66
211,Tiznit,MA,2021-04-26 00:13:25,29.5833,-9.5,57.79,73,3,3.02
212,Namibe,AO,2021-04-26 00:11:28,-15.1961,12.1522,76.57,67,0,9.75
213,Nang Rong,TH,2021-04-26 00:13:26,14.6377,102.7914,84.99,100,45,2.3
214,Honningsvag,NO,2021-04-26 00:13:26,70.9821,25.9704,35.56,68,100,11.12
215,Palu,ID,2021-04-26 00:13:27,-0.8917,119.8707,82.56,74,98,2.46
216,Cavnic,RO,2021-04-26 00:10:12,47.6667,23.8667,41.0,93,20,9.22
217,Constitucion,CL,2021-04-26 00:13:28,-35.3333,-72.4167,57.24,81,1,11.05
218,Makakilo City,US,2021-04-26 00:13:28,21.3469,-158.0858,82.4,51,90,6.91
219,Turayf,SA,2021-04-26 00:13:29,31.6725,38.6637,75.2,27,0,8.05
220,Kirakira,SB,2021-04-26 00:13:29,-10.4544,161.9205,84.72,74,72,1.72
221,Yellowknife,CA,2021-04-26 00:11:12,62.456,-114.3525,9.0,72,90,13.8
222,Havre-Saint-Pierre,CA,2021-04-26 00:13:30,50.2334,-63.5986,39.2,70,75,5.75
223,Perleberg,DE,2021-04-26 00:13:31,53.0667,11.8667,35.01,73,3,5.03
